seed,dq,dp,de,dgf,dgm,dg1,dg2,dg3,dg4,pf,pm,p1,p2,p3,p4,blue_daf,blue_dam,blue_da1,blue_da2,blue_da3,blue_da4,pink_daf,pink_dam,pink_da1,pink_da2,pink_da3,pink_da4,blue_laf,blue_lam,blue_la1,blue_la2,blue_la3,blue_la4,pink_laf,pink_lam,pink_la1,pink_la2,pink_la3,pink_la4,pedid,xr1,blue_recomb,x1,xr2,pink_recomb,x2,x
367458983,0.4,0.6,0.1,1,2,2,2,2,1,-0.427540602,0.0242765987,-0.126898449,0.1354293273,0.0959687563,-0.562946421,1,2,1,1,1,1,1,1,2,2,2,1,3,6,5,3,5,5,5,3,3,3,3,3,653,0.7268534991,0,0.5655822286,0.7023836983,0,0.5201746731,0.3705357939
1793874578,0.4,0.6,0.1,3,3,3,3,3,3,0.8047966291,0.8818235573,0.7274060531,0.858347732,0.8399693247,0.9113327791,2,2,2,2,2,2,2,2,2,2,2,2,6,2,6,6,3,6,3,3,3,3,2,2,654,0.0590878218,1,0.7148196393,0.2105915897,1,0.576661622,1.1133277911
53930080,0.4,0.6,0.1,2,2,2,3,2,1,0.0011029833,-0.175068454,-0.22619553,0.8498402063,-0.05999977,-0.549306273,2,1,2,2,1,1,1,2,1,2,2,1,3,5,4,4,4,4,4,4,5,5,5,5,655,0.9065061565,0,0.6001183235,0.9820741354,0,0.2084517736,0.5069372705
1890197763,0.4,0.6,0.1,1,1,1,1,1,1,-0.524894293,-0.438750414,-0.562595028,-0.590311109,-0.52019188,-0.468589038,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,3,3,3,3,3,656,0.1946165511,1,0.871361189,0.6220324522,0,0.6141797149,1.3141096161
511110653,0.4,0.6,0.1,2,1,1,1,1,2,0.0331653556,-0.568326525,-0.545408215,-0.521698214,-0.578737133,0.0064278714,2,1,1,1,1,2,1,1,1,1,1,1,6,6,6,2,6,2,2,6,6,6,6,6,657,0.1881510393,1,0.0886984445,0.2723885939,1,0.6505133522,0.0642787144
155111245,0.4,0.6,0.1,3,3,3,3,3,3,0.8671588581,0.7611200269,0.8431003219,0.6489039695,0.7509691578,0.9267089568,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,1,4,2,2,4,4,658,0.5032863577,0,0.7477810214,0.1167918132,1,0.3578828202,1.2670895677
1580716055,0.4,0.6,0.1,1,1,1,1,1,1,-0.76410465,-0.562816969,-0.267798544,-0.54382594,-0.553774892,-0.617192106,1,1,1,1,1,1,1,1,1,1,1,1,6,3,6,6,6,6,6,5,3,5,5,5,659,0.3670500868,1,0.1739244383,0.9277743161,0,0.6756661631,-0.171921065
215596635,0.4,0.6,0.1,3,1,2,2,2,2,0.6091966139,-0.512228908,-0.066877681,-0.004868017,-0.16037657,0.1518611041,2,1,2,2,2,2,2,1,1,1,1,1,5,5,5,5,5,3,3,6,6,5,6,6,660,0.5871206189,0,0.5166004046,0.6854376801,0,0.7078963344,1.518611041
1101701755,0.4,0.6,0.1,3,2,2,2,3,3,0.9015900235,-0.051494703,0.054945868,0.1067807319,0.7967370688,0.7077803592,2,2,2,2,2,2,2,1,1,1,2,2,6,3,1,1,6,1,1,4,3,3,3,4,661,0.37892932,1,0.2279050989,0.3347547149,1,0.243361957,-0.922196408
909484153,0.4,0.6,0.1,2,2,2,1,3,3,-0.04189008,0.1661182185,0.0232753586,-0.73896171,0.5727425967,0.6293457269,2,2,2,1,2,2,1,1,1,1,2,2,5,1,5,5,6,5,6,5,5,1,1,1,662,0.8221847796,0,0.4809974537,0.8003809609,0,0.4470944556,-1.706542731
1381052110,0.4,0.6,0.1,2,1,2,2,1,2,-0.036159727,-0.779567682,0.2254340325,-0.036038831,-0.624091575,-0.204376381,1,1,2,2,1,2,2,1,1,1,1,1,3,5,2,2,2,3,2,5,5,5,5,5,663,0.3882124812,1,0.8859511599,0.8100284095,0,0.508474895,-2.043763808
